dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
APTOS2019,valid,total_lesion_union_area_ratio,366,0.7744561187223632,0.5684721825591919,0.0016495682472406137,0.0196022306169782,0.017952662369737585
APTOS2019,valid,total_lesion_sum_area_ratio,366,0.7768297936178912,0.5802388251838754,0.0017998717552007279,0.02100808279854908,0.019208211043348352
APTOS2019,valid,microaneurysms_area_ratio,366,0.6833533247928675,0.5328716220390781,0.00019570284111553344,0.0013550349644251892,0.0011593321233096558
APTOS2019,valid,haemorrhages_area_ratio,366,0.6591272520062098,0.432954577646264,0.0007765570352243582,0.00850650242396759,0.007729945388743231
APTOS2019,valid,hard_exudates_area_ratio,366,0.7631752690321237,0.39822256122981003,0.0003108312917310031,0.007468632289341486,0.007157800997610483
APTOS2019,valid,soft_exudates_area_ratio,366,0.383875941443546,0.3853939561933916,0.0005167805871297971,0.003677913120814701,0.0031611325336849037
APTOS2019,valid,microaneurysms_prob_mean,366,0.06910619324727808,-0.02341364332393062,0.014599511789721097,0.014738900320870513,0.00013938853114941682
APTOS2019,valid,haemorrhages_prob_mean,366,0.5297988677815898,0.40869566419863873,0.00410831806271571,0.011096818106515036,0.006988500043799326
APTOS2019,valid,hard_exudates_prob_mean,366,0.7011724228709361,0.41259564467531273,0.006201810615007231,0.014323370797293511,0.00812156018228628
APTOS2019,valid,soft_exudates_prob_mean,366,0.26049590628327723,0.31393894649277093,0.023899167083030522,0.02857698713030134,0.004677820047270818
APTOS2019,valid,microaneurysms_component_count,366,0.6651376143236313,0.5631278071965001,7.4186046511627906,36.535714285714285,29.117109634551493
APTOS2019,valid,haemorrhages_component_count,366,0.6522113482328101,0.5344648309176392,3.4709302325581395,16.285714285714285,12.814784053156146
APTOS2019,valid,hard_exudates_component_count,366,0.7542098922486865,0.5614171652075075,3.302325581395349,41.607142857142854,38.3048172757475
APTOS2019,valid,soft_exudates_component_count,366,0.31993678124777836,0.3804260900437837,2.761627906976744,9.964285714285714,7.202657807308969
APTOS2019,valid,lesion_presence_count,366,0.4051352042013013,0.37398632288752004,3.3488372093023258,3.9642857142857144,0.6154485049833887
IDRiD,test,total_lesion_union_area_ratio,103,0.6710847318386396,0.4992610540823543,0.0005874633789062286,0.02385154137244588,0.02326407799353965
IDRiD,test,total_lesion_sum_area_ratio,103,0.6700112319174782,0.509002487665023,0.0006690305822035639,0.025878025935246355,0.02520899535304279
IDRiD,test,microaneurysms_area_ratio,103,0.6935316355660242,0.5045434863811918,0.00010153826545264485,0.002114516038161006,0.0020129777727083613
IDRiD,test,haemorrhages_area_ratio,103,0.7042900814714192,0.4396047600246524,0.00040705063763784335,0.020026867206280004,0.01961981656864216
IDRiD,test,hard_exudates_area_ratio,103,0.559622562532273,0.2283691729435553,6.0249777401188974e-05,0.0027049137995793023,0.002644664022178113
IDRiD,test,soft_exudates_area_ratio,103,0.5025937462509987,0.26664998407768825,0.00010019190171185295,0.0010317288912259385,0.0009315369895140855
IDRiD,test,microaneurysms_prob_mean,103,0.611932683874881,0.4877970933975436,0.014329349293428283,0.016216571514423062,0.001887222220994779
IDRiD,test,haemorrhages_prob_mean,103,0.6899165526104628,0.4383938468625559,0.003424363977768806,0.0220665564903846,0.018642192512615792
IDRiD,test,hard_exudates_prob_mean,103,0.6214915330584379,0.25054880144727765,0.00577758340274582,0.008929619422325692,0.003152036019579871
